Symbol,Company Name,Market Capitalization,Sector,Industry,Dividend Yield,Beta
GTWCF,GREENTOWN CHINA HLDGS LTD SHS,$3.1B,,,--,1.8
GTX,Garrett Motion Inc,$550.3M,Consumer Discretionary,Auto Components,--,--
GTXO,GTX Corp,$1.5M,Consumer Discretionary,Household Durables,--,2.4
GTY,Getty Realty Corp.,$1.2B,Real Estate,Equity Real Estate Investment Trusts (REITs),4.92%,0.8
GTYH,GTY Technology Holdings Inc,$189.7M,Information Technology,Software,--,0
GUARL,Guaranty Trust Bank Plc (ADR),$.0K,,,--,--
GULTU,Gulf Coast Ultra Deep Royalty Trust,$4.4M,Energy,"Oil, Gas & Consumable Fuels",8.90%,1.5
GUOHF,GRUPO RADIO CNTRO S A B DE C V SHS A,$51.1M,,,--,0.1
GUORF,GL LTD SHS,$547.2M,,,--,0.9
GURE,"Gulf Resources, Inc.",$56.2M,Materials,Chemicals,--,0.9
GUT,Gabelli Utility Trust,$412.9M,,,8.02%,0.8
GUT-A,Gabelli Utility Trust,--,,,5.24%,--
GUT-C,Gabelli Utility Trust,--,,,5.22%,--
GUZOF,GRUPO HERDEZ SA DE CV SHS,$642.1M,,,2.69%,0.5
GV,Goldfield Corp,$86.1M,Industrials,Construction & Engineering,--,1.2
GVA,Granite Construction Inc.,$894.6M,Industrials,Construction & Engineering,2.75%,1.5
GVBT,Green Vision Biotechnology Corp,--,,,--,--
GVCXF,GVIC COMMUNICATIONS CORP,$26.8M,Communication Services,Media,--,--
GVDI,Golden Valley Development Inc,$486.2K,,,--,0.5
GVFF,Greenville Federal Financial Corporation,$12.6M,,,4.67%,0.6
GVFG,Gerova Financial Group Ltd,$.3K,Financials,Insurance,--,--
GVHIB,Global Vision Holdings Inc,$142.3K,Consumer Staples,Food Products,--,-1.1
GVLMF,GREENVALE ENERGY LTD SHS,$1.6M,,,--,2.1
GVMUF,GVIC COMMUNICATIONS CORP NEW VTG COM SHS B,$340.9K,Communication Services,Media,--,--
GVP,"GSE Systems, Inc.",$19.0M,Information Technology,Software,--,1.5
GVSI,Long Beard Breweries Inc,$.0K,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",--,-0.9
GWB,Great Western Bancorp Inc,$781.2M,Financials,Banks,4.46%,1.1
GWGH,GWG Holdings Inc,$223.3M,Financials,Diversified Financial Services,--,-0.5
GWHP,Global Wholehealth Partners Corp,$95.9M,,,--,--
GWIN,Glorywin Entertainment Group Inc,$509.0K,Consumer Discretionary,"Hotels, Restaurants & Leisure",--,--
GWON,Grandwon Corp,$905.0K,,,--,--
GWOX,Goodheart-Willcox Company Inc,$93.6M,,,1.72%,--
GWPC,Wholehealth Products Inc,$52.0K,,,--,--
GWPH,GW Pharmaceuticals PLC- ADR,$4.0B,Health Care,Pharmaceuticals,--,1.9
GWRE,Guidewire Software Inc,$9.9B,Information Technology,Software,--,1.3
GWRRF,ENGOLD MINES LTD,$8.9M,Materials,Metals & Mining,--,-0.6
GWRS,Global Water Resources Inc,$243.7M,Utilities,Water Utilities,2.69%,0.4
GWSAF,GOWEST GOLD LTD,$22.3M,Materials,Metals & Mining,--,2
GWSN,Gulf West Security Network Inc,$451.8K,,,--,4.2
GWTI,Greenway Technologies Inc,$10.6M,Energy,Energy Equipment & Services,--,1.3
GWTR,Global Water Technologies Inc.,$597.9K,Utilities,Water Utilities,--,2
GWW,W W Grainger Inc,$18.1B,Industrials,Trading Companies & Distributors,1.70%,1
GXGX,GX Acquisition Corp,$371.2M,,,--,--
GXMLF,INTERCONTNTL GOLD & MTL LTD,$2.4M,Industrials,Trading Companies & Distributors,--,0.5
GXRFF,PROSPERA ENERGY INC,$781.5K,Energy,"Oil, Gas & Consumable Fuels",--,3.8
GXSFF,GOLDSOURCE MINES INC,$35.0M,Materials,Metals & Mining,--,1.8
GXXM,Gex Management Inc,$590.4K,,,--,--
GYC,CABCO Series 2004-102 Trust (SBC Communications In,--,,,3.39%,--
GYPHQ,Gryphon Gold Corp,$3.9M,Materials,Metals & Mining,--,6.2
GYRO,Gyrodyne LLC,$24.4M,Real Estate,Real Estate Management & Development,--,0.5
GYST,Graystone Company Inc,$1.5M,Materials,Metals & Mining,--,0.1
GYUAF,GS YUASA CORP TOKYO SHS,$1.7B,,,--,1.1
GZCC,Guozi Zhongyu Capital Holdings Co,$11.0M,,,--,--
GZIC,GZ6G Technologies Corp,$959.8K,,,--,6.6
GZITF,YUEXIU TRANSPORT INFRASTRUCTUR SHS,$1.0B,,,--,0.6
GZPFY,GAZPROM NEFT PJSC,$21.5B,Energy,"Oil, Gas & Consumable Fuels",12.36%,1.3
GZUHF,GUANGZHOU R&F PROP CO LTD SHS H,$4.5B,,,--,1.3
H,Hyatt Hotels Corporation,$5.2B,Consumer Discretionary,"Hotels, Restaurants & Leisure",--,1.4
HA,"Hawaiian Holdings, Inc.",$620.8M,Industrials,Airlines,--,2.3
HABC,Habersham Bancorp,$14.4K,,,--,--
HABK,Hamilton Bancorp Inc.,$1.0K,,,--,--
HADV,Health Advance Inc,$803.9K,,,--,0.8
HAE,Haemonetics Corporation,$4.6B,Health Care,Health Care Equipment & Supplies,--,0.7
HAFC,Hanmi Financial Corp,$291.5M,Financials,Banks,5.20%,1.3
HAFG,Holistic Asset Finance Group Co Ltd,$12.1M,Communication Services,Media,--,-1.4
HAGN,Haha Generation Corp,--,,,--,--
HAHI,"Help at Home, Inc.",$280.4K,,,--,--
HAIN,Hain Celestial Group Inc,$3.4B,Consumer Staples,Food Products,--,0.8
HAL,Halliburton Company,$12.9B,Energy,Energy Equipment & Services,1.27%,2.6
HALB,Tykhe Corp,$1.9M,,,--,-5.7
HALFF,HAL TRUST SHS,$11.7B,,,2.37%,0.6
HALL,"Hallmark Financial Services, Inc.",$60.6M,Financials,Insurance,--,1.3
HALN,Halo Companies Inc,$621.6K,Financials,Capital Markets,--,-3.1
HALO,"Halozyme Therapeutics, Inc.",$3.7B,Health Care,Biotechnology,--,1.8
HAON,Halitron Inc,$.0K,,,--,--
HAPP,Happiness Biotech Group Ltd,$69.7M,Consumer Staples,Personal Products,--,--
HARL,Harleysville Financial Corp,$82.0M,Financials,Thrifts & Mortgage Finance,4.85%,0.5
HARP,Harpoon Therapeutics Inc,$340.6M,Health Care,Biotechnology,--,--
HAS,"Hasbro, Inc.",$10.9B,Consumer Discretionary,Leisure Products,3.44%,1
HASGF,THASEGAWA CO LTD SHS,$894.7M,,,--,0.8
HASI,Hannon Armstrong Sustnbl Infrstr Cap Inc,$2.5B,Real Estate,Equity Real Estate Investment Trusts (REITs),3.92%,1.6
HAUP,"Hauppauge Digital, Inc.",$455.5K,Information Technology,"Technology Hardware, Storage & Peripherals",--,0.1
HAWEL,Hawaiian Electric Co Inc,$3.5M,,,4.35%,-0.1
HAYN,"Haynes International, Inc.",$278.6M,Materials,Metals & Mining,4.01%,1.4
HAYPF,HAYS PLC SHS,$2.4B,,,--,1
HBAN,Huntington Bancshares Incorporated,$9.8B,Financials,Banks,6.50%,1.5
HBB,Hamilton Beach Brands Holding Co,$141.0M,Consumer Discretionary,Household Durables,3.46%,--
HBCP,"Home Bancorp, Inc.",$228.0M,Financials,Thrifts & Mortgage Finance,3.44%,0.7
HBEIF,HONEY BADGER EXPLORATION,$2.9M,Materials,Metals & Mining,--,2.1
HBEXF,HORNBY BAY MINERAL EXPL INC,$5.7M,Materials,Metals & Mining,--,1
HBGRF,HEIDELBERGER DRUCK ORD,$176.9M,,,--,1.2
HBI,Hanesbrands Inc.,$4.9B,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",4.27%,1.6
HBIA,Hills Bancorporation,$562.3M,Financials,Banks,--,0
HBIO,"Harvard Bioscience, Inc.",$123.0M,Health Care,Life Sciences Tools & Services,--,1.6
HBM,HUDBAY MINERALS INC,$898.8M,Materials,Metals & Mining,0.41%,2.3
HBMD,Howard Bancorp Inc,$189.4M,Financials,Banks,--,0.6
HBMK,Hubei Minkang Pharmaceutical Ltd,$1.6M,Health Care,Pharmaceuticals,--,--
HBNC,Horizon Bancorp Inc,$438.2M,Financials,Banks,4.86%,1.2
HBP,Huttig Building Products Inc,$33.3M,Industrials,Trading Companies & Distributors,--,2.4
HBPCF,HELIX BIOPHARMA CORP,$55.8M,Health Care,Biotechnology,--,-0.2
HBPE,HBP Energy Corp,$2.5M,,,--,--
HBRM,"Herborium Group, Inc.",$.0K,Consumer Staples,Personal Products,--,--
HBSI,Highlands Bancshares Inc (West Virg),$47.5M,Financials,Banks,4.51%,0.4
HBT,HBT Financial Inc,$336.6M,Financials,Banks,4.89%,--
HBTC,Harbourton Capital Group Inc.,$75.9K,,,--,--
HBUV,Hubilu Venture Corporation,$6.6M,,,--,--
HCA,HCA Healthcare Inc,$42.9B,Health Care,Health Care Providers & Services,--,1.4
HCAC,Hennessy Capital Acquisition Corp IV,$446.1M,,,--,--
HCACU,HENNESSY CAPITAL ACQ CORP IV,$409.3M,,,--,--
HCAP,Harvest Capital Credit Corp,$23.9M,Financials,Capital Markets,--,0.8
HCAT,Health Catalyst Inc,$1.4B,Health Care,Health Care Technology,--,--
HCBC,"High Country Bancorp, Inc.",$31.4M,,,2.94%,0.3
HCBP,Harvest Community Bank,$4.3K,Financials,Banks,--,1.7
HCC,Warrior Met Coal Inc,$802.8M,Materials,Metals & Mining,1.30%,--
HCCA,Healthcare Corporation of America,$178.2K,Health Care,Health Care Providers & Services,--,--
HCCC,H/Cell Energy Corp,$1.9M,,,--,--
HCCH,HL Acquisitions Corp,$71.5M,,,--,--
HCCI,"Heritage-Crystal Clean, Inc.",$340.3M,Industrials,Commercial Services & Supplies,--,1.6
HCCO,Healthcare Merger Corp,$326.2M,,,--,--
HCDI,Harbor Custom Development Inc,--,,,--,--
HCEI,Healthy Coffee International Inc,$521.1K,Consumer Staples,Food Products,--,1.2
HCFT,Hunt Companies Finance Trust Inc,$58.9M,Financials,Mortgage Real Estate Investment Trusts (REITs),12.71%,1.4
HCGI,Huntwicke Capital Group Inc,$41.0M,Real Estate,Real Estate Management & Development,--,--
HCGS,HighCom Global Security Inc,$2.2M,Materials,Chemicals,--,1.5
HCHC,HC2 Holdings Inc,$131.3M,Industrials,Construction & Engineering,--,2.1
HCI,HCI Group Inc,$354.0M,Financials,Insurance,3.44%,0.6
HCKT,"The Hackett Group, Inc.",$432.6M,Information Technology,IT Services,2.64%,0.8
HCLC,Health-Chem Corporation,$53.5K,,,--,-2.8
HCMC,Healthier Choices Management Corp,$8.5M,Consumer Staples,Tobacco,--,--
HCMLY,Lafargeholcim Ltd (ADR),$29.4B,Materials,Construction Materials,4.30%,1.4
HCRSQ,Hi-Crush Inc,$3.2M,Energy,Energy Equipment & Services,--,2
HCSG,"Healthcare Services Group, Inc.",$2.0B,Industrials,Commercial Services & Supplies,3.12%,0.6
HCTI,Hybrid Coating Technologies Inc,$1.5M,Materials,Chemicals,--,--
HCYT,H-Cyte Inc,$6.9M,Health Care,Health Care Equipment & Supplies,--,0.8
HD,Home Depot Inc,$283.7B,Consumer Discretionary,Specialty Retail,2.26%,1.1
HDB,HDFC Bank Limited (ADR),$91.8B,Financials,Banks,0.65%,0.8
HDII,"Hypertension Diagnostics, Inc.",$21.9M,Health Care,Health Care Equipment & Supplies,--,-2.3
HDIUF,HARDWOODS DISTRIBUTION INC,$276.0M,Industrials,Trading Companies & Distributors,1.92%,1.8
HDLS,Hub Deals Corp,--,,,--,--
HDRSF,HIGHLAND COPPER CO INC,$14.2M,Materials,Metals & Mining,--,0.5
HDS,HD Supply Holdings Inc,$5.8B,Industrials,Trading Companies & Distributors,--,1.2
HDSN,"Hudson Technologies, Inc.",$42.2M,Industrials,Commercial Services & Supplies,--,1.2
HDUGF,HUNTER DOUGLAS NV ORD A SHS,$1.9B,,,4.24%,0.7
HDUP,Headsup Entertainment International Inc,$6.7M,Communication Services,Entertainment,--,-4
HDVTY,Henderson Investment Ltd (ADR),$128.0M,,,9.15%,--
HDVW,HD View 360 Inc,$2.0K,,,--,--
HDVY,Health Discovery Corporation,$5.5M,Health Care,Health Care Providers & Services,--,2.4
HDYNQ,Hyperdynamics Corporation,$65.1K,Energy,"Oil, Gas & Consumable Fuels",--,1.8
HE,"Hawaiian Electric Industries, Inc.",$4.1B,Utilities,Electric Utilities,3.52%,0.2
HEAR,Turtle Beach Corp,$265.5M,Consumer Discretionary,Household Durables,--,1.9
HEBT,Hebron Technology Co Ltd,$238.5M,Industrials,Machinery,--,1.5
HECCU,Hudson Executive Investment Corp,$432.6M,,,--,--
HEES,"H&E Equipment Services, Inc.",$680.7M,Industrials,Trading Companies & Distributors,5.85%,2.3
HEI,Heico Corp,$5.3B,Industrials,Aerospace & Defense,0.16%,1.1
HEI.A,HEICO CORP,$6.2B,Industrials,Aerospace & Defense,0.20%,1.1
HEINY,Heineken N.V. (ADR),$55.6B,Consumer Staples,Beverages,1.90%,0.8
HELE,Helen of Troy Limited,$4.8B,Consumer Discretionary,Household Durables,--,0.9
HELKF,HENKEL AG & CO KGAA SHS,$22.6B,,,--,0.6
HELOF,WINSHEAR GOLD CORP,$3.6M,Materials,Metals & Mining,--,2.1
HEME,Healthmed Services Ltd.,$1.4M,,,--,1.8
HENC,Holloman Energy Corp,$12.2M,Energy,"Oil, Gas & Consumable Fuels",--,-0.4
HENGF,HENGDELI HOLDINGS LTD GEO SHS,$151.5M,,,--,0.3
HENI,Hinto Energy Inc,$67.8K,,,--,4.9
HENOF,HENKEL AG & CO KGAA INHABER VORZUGSA,$17.8B,,,2.07%,0.6
HEOL,"Highwater Ethanol, LLC",$34.0M,Energy,"Oil, Gas & Consumable Fuels",--,--
HEP,"Holly Energy Partners, L.P.",$1.4B,Energy,"Oil, Gas & Consumable Fuels",10.09%,1
HEPA,Hepion Pharmaceuticals Inc,$35.8M,Health Care,Pharmaceuticals,--,1.9
HERB,Yasheng Group,$5.0M,Consumer Staples,Food Products,--,2.9
HERC,H.E.R.C. Products Incorporated,$54.3K,,,--,-1.4
HERF,Red Oak Hereford Farms Inc,$16.0K,,,--,--
HERXF,HEROUX-DEVTEK INC,$270.7M,Industrials,Aerospace & Defense,--,1.4
HES,Hess Corp.,$15.7B,Energy,"Oil, Gas & Consumable Fuels",1.92%,2.2
HESG,"Health Sciences Group, Inc.",$1.9M,Consumer Staples,Food & Staples Retailing,--,--
HESM,Hess Midstream Operations LP,$4.9B,Energy,"Oil, Gas & Consumable Fuels",9.81%,--
HEWA,HealthWarehouse.com Inc,$11.9M,Consumer Discretionary,Internet & Direct Marketing Retail,--,-0.5
HEXPF,HUNTINGTON EXPLORATION INC,$371.3K,Energy,"Oil, Gas & Consumable Fuels",--,1.1
HFAHF,NAVIGATOR GLOBAL INVTS LTD ORD,$416.7M,,,--,0.6
HFBA,HFB Financial Corp (KY),$31.4M,,,3.14%,0.6
HFBL,Home Federal Bancorp Inc of Louisiana,$43.3M,Financials,Thrifts & Mortgage Finance,2.56%,0.7
HFC,HollyFrontier Corp,$4.4B,Energy,"Oil, Gas & Consumable Fuels",5.12%,1.7
HFFG,Hf Foods Group Inc,$465.1M,Consumer Staples,Food & Staples Retailing,--,--
HFRO,Highland Income Fund,$563.8M,,,11.73%,--
HFRO-A,Highland Income Fund,--,,,5.50%,--
HFWA,Heritage Financial Corp,$753.1M,Financials,Banks,3.88%,0.7
HGAT,HealthGate Data Corp.,$.1K,Health Care,Health Care Technology,--,--
HGBL,Heritage Global Inc,$58.7M,Financials,Capital Markets,--,0.6
HGEN,Humanigen Inc,$890.1M,Health Care,Biotechnology,--,-1.7
HGGCF,HIGHWAY 50 GOLD CORP COM,$1.5M,,,--,0.9
HGGGQ,"hhgregg, Inc.",$136.3K,Consumer Discretionary,Specialty Retail,--,-2.1
HGHAF,HIGH ARCTIC ENERGY SERVICES,$22.8M,Energy,Energy Equipment & Services,--,2.3
HGHGF,HIGHLAND GOLD MINING LTD SHS,$1.2B,,,5.97%,1
HGHH,High Desert Holding Corp,--,,,--,--
HGHUF,HONGHUA GROUP LIMITED SHS,$348.1M,,,--,1.7
HGII,Lansdowne Security Inc,$.1K,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",--,--
HGKGF,POWER ASSETS HOLDINGS LIMITED SHS,$11.8B,,,--,0.6
HGLI,Hongli Clean Energy Technologies Corp,$11.1M,,,--,--
HGMCF,HARMONY GOLD MINING CO LTD SHS,$3.9B,,,--,1.5
HGPI,"Horizon Group Properties, Inc.",$3.1M,,,--,-0.3
HGRVF,HARGREAVES SERVICES PLC DURHAM SHS,$122.0M,,,--,1.1
HGSH,China Hgs Real Estate  Inc,$37.8M,Real Estate,Real Estate Management & Development,--,2
HGTXU,Hugoton Royalty Trust,$5.0M,Energy,"Oil, Gas & Consumable Fuels",--,0.6
HGV,Hilton Grand Vacations Inc,$1.7B,Consumer Discretionary,"Hotels, Restaurants & Leisure",--,2.2
HHBT,HH Biotechnology Holdings Co,$1.7M,Real Estate,Real Estate Management & Development,--,--
HHC,Howard Hughes Corp,$3.0B,Real Estate,Real Estate Management & Development,--,1.6
HHER,Her Imports,$433.5K,Consumer Discretionary,Specialty Retail,--,-9.9
HHILF,HOPEWELL HWY INFRASTRUCTURE LD SHS,$955.3M,,,9.28%,0.4
HHR,HeadHunter Group PLC,$988.5M,Industrials,Professional Services,1.81%,--
HHSRF,HI HO SILVER RES INC COM NEW,$7.4M,,,--,-1.8
HHT,Color Star Technology Co Ltd,$44.1M,Materials,Construction Materials,--,2.2
HHULF,HAMBURGER HAFEN UND LOGISTIK NAMENS AKT,$1.2B,,,4.85%,1
HI,"Hillenbrand, Inc.",$2.2B,Industrials,Machinery,3.09%,1.4
HIBB,"Hibbett Sports, Inc.",$402.9M,Consumer Discretionary,Specialty Retail,--,1.7
HIBRF,HIBERNIA REIT PLC ORD,$883.4M,,,4.14%,0.5
HIFS,Hingham Institution for Savings,$378.1M,Financials,Thrifts & Mortgage Finance,0.95%,1
HIG,Hartford Financial Services Group Inc,$15.2B,Financials,Insurance,3.09%,1
HIHI,Holiday Island Holdings Inc,$189.3K,Real Estate,Real Estate Management & Development,--,1.5
HIHO,Highway Holdings Limited,$10.2M,Industrials,Machinery,12.31%,0.4
HII,Huntington Ingalls Industries Inc,$7.3B,Industrials,Aerospace & Defense,2.29%,1.1
HIL,Hill International Inc,$83.4M,Industrials,Professional Services,--,1.8
HIMR,Hollund Industrial Marine Inc,$529.8K,Industrials,Machinery,--,--
HIMX,"Himax Technologies, Inc. (ADR)",$653.4M,Information Technology,Semiconductors & Semiconductor Equipment,--,1
HINOF,HINO MTRS LTD COM,$3.8B,,,--,1.5
HINOY,Hino Motors Ltd (ADR),$4.0B,Industrials,Machinery,--,1
HIO,Western Asst High Incm Opprtnty Fnd Inc.,$611.0M,,,8.09%,0.6
HIPH,American Premium Water Corp,$1.4M,Consumer Staples,Beverages,--,5.8
HIRU,Hiru Corp.,$699.3K,,,--,1.2
HISEF,HISENSE HOME APLANC GRP CO LTD SHS H,$510.1M,,,--,1
HISJF,HIS CO LTD SHS,$1.2B,,,--,1
HITC,Healthcare Integrated Technologies Inc,$10.6M,Health Care,Health Care Technology,--,0.2
HITD,Houston Interweb Design Inc,$806.4K,,,--,--
HIW,Highwoods Properties Inc,$3.9B,Real Estate,Equity Real Estate Investment Trusts (REITs),5.14%,1
HIX,Western Asset High Income Fund II Inc.,$550.1M,,,8.94%,0.9
HJLI,Hancock Jaffe Laboratories Inc,$12.8M,Health Care,Health Care Equipment & Supplies,--,--
HKBT,HK Battery Technology Inc,$67.1M,,,--,--
HKEB,HK Ebus Corp,$106.2K,,,--,-3.3
HKGEF,HONG KONG ECO TIMES HLDGS LTD SHS,$73.4M,,,--,0.6
HKGT,HK Graphene Technology Corp,$3.5B,,,--,--
HKIB,AMTD International Inc - ADR,$1.6B,Financials,Capital Markets,--,--
HKIT,Hitek Global Inc.,--,,,--,--
HKMPF,HIKMA PHARMACEUTICALS PLC SHS,$6.1B,,,1.54%,0.2
HKNI,"HKN, Inc.",$2.2M,Energy,"Oil, Gas & Consumable Fuels",--,--
HKSHF,HONGKONG & SHANGHAI HOTELS LTD SHS,$1.5B,,,1.88%,0.7
HKTVY,Hong Kong Television Network Ltd,$837.0M,Consumer Discretionary,Internet & Direct Marketing Retail,--,0.8
HKWO,Hong Kong Winalite Group Inc,$1.3M,Consumer Discretionary,Distributors,--,--
HL,Hecla Mining Company,$2.7B,Materials,Metals & Mining,0.19%,2.1
HL-B,Hecla Mining Co,--,Materials,Metals & Mining,6.08%,--
HLBYL,Heron Lake BioEnergy LLC,$46.8M,Energy,"Oil, Gas & Consumable Fuels",--,--
HLF,Herbalife Nutrition Ltd,$7.6B,Consumer Staples,Personal Products,--,1.1
HLFDF,HALFORDS GROUP PLC SHS,$410.2M,,,--,1.9
HLFN,Home Loan Financial Corporation,$65.2M,Financials,Thrifts & Mortgage Finance,3.72%,0.6
HLG,Hailiang Education Group Inc (ADR),$1.2B,Consumer Discretionary,Diversified Consumer Services,--,0.1
HLI,Houlihan Lokey Inc,$3.9B,Financials,Capital Markets,2.21%,0.7
HLIO,Helios Technologies Inc,$1.2B,Industrials,Machinery,0.99%,1.2
HLIT,Harmonic Inc,$546.2M,Information Technology,Communications Equipment,--,0.8
HLIX,Helix Technologies Inc,$9.3M,Industrials,Commercial Services & Supplies,--,-0.1
HLKMF,FRONTIER LITHIUM,$31.5M,Materials,Metals & Mining,--,1.6
HLM-,Hillman Group Capital Trust,--,,,--,--
HLMB,Swiftsure International Inc,$539.7K,Health Care,Life Sciences Tools & Services,--,--
HLNE,Hamilton Lane Inc,$3.8B,Financials,Capital Markets,1.69%,1
HLNFF,HIGH LINER FOODS INC,$132.8M,Consumer Staples,Food Products,3.64%,0.5
HLOC,Helo Corp,$18.0M,Information Technology,"Technology Hardware, Storage & Peripherals",--,6.2
HLOI,Previsto International Holdings Inc,$.0K,,,--,--
HLT,Hilton Worldwide Holdings Inc,$21.9B,Consumer Discretionary,"Hotels, Restaurants & Leisure",--,1.3
HLTOY,Hellenic Telecom Organization S.A. (ADR),$6.7B,Communication Services,Diversified Telecommunication Services,4.48%,0.9
HLTY,Precheck Health Services Inc,$1.5M,,,--,-3.4
HLWD,Almost Never Films Inc,$1.6M,Communication Services,Entertainment,--,2
HLX,Helix Energy Solutions Group Inc,$731.8M,Energy,Energy Equipment & Services,--,3.7
HLXW,Helix Wind Corp,$192.2K,Industrials,Electrical Equipment,--,--
HLYK,Healthlynked Corp,$10.7M,Health Care,Health Care Technology,--,--
HMC,Honda Motor Co Ltd (ADR),$44.7B,Consumer Discretionary,Automobiles,3.99%,0.9
HMCBF,HOME CAPITAL GROUP INC -CL B,$801.2M,Financials,Thrifts & Mortgage Finance,--,1.8
HMDPF,HAMMOND POWER SOLUTIONS INC,$43.2M,Industrials,Electrical Equipment,5.26%,0.3
HMG,HMG Courtland Properties Inc,$10.6M,Real Estate,Equity Real Estate Investment Trusts (REITs),2.67%,0.8
HMGN,"Hemagen Diagnostics, Inc.",$155.0K,Health Care,Health Care Equipment & Supplies,--,0.2
HMHC,Houghton Mifflin Harcourt Co,$275.3M,Consumer Discretionary,Diversified Consumer Services,--,1.4
HMI,Huami Corp,$872.9M,Information Technology,"Electronic Equipment, Instruments & Components",--,--
HMLA,Homeland Resources Ltd.,$126.3K,,,--,-0.9
HMLP,Hoegh LNG Partners LP,$375.5M,Energy,"Oil, Gas & Consumable Fuels",15.88%,1.9
HMLP-A,Hoegh LNG Partners LP,--,Energy,"Oil, Gas & Consumable Fuels",9.52%,--
HMMR,Hammer Fiber Optics Holdings Corp,$10.1M,Communication Services,Diversified Telecommunication Services,--,1.2
HMN,Horace Mann Educators Corporation,$1.6B,Financials,Insurance,3.13%,0.5
HMNF,"HMN Financial, Inc.",$66.0M,Financials,Thrifts & Mortgage Finance,--,0.1
HMNY,Helios and Matheson Analytics Inc,$2.1M,Information Technology,IT Services,--,1
HMPQ,HempAmericana Inc,$5.6M,Consumer Staples,Personal Products,--,0.4
HMSNF,HAMMERSON PLC ORD,$735.6M,,,--,1.9
HMST,HomeStreet Inc,$568.3M,Financials,Thrifts & Mortgage Finance,2.52%,1
HMSVF,HOMESERVE PLC SHS,$5.4B,,,1.82%,0.8
HMSY,HMS Holdings Corp,$2.9B,Health Care,Health Care Technology,--,1
HMTLF,HITACHI METALS LTD ORD,$7.1B,,,--,1.2
HMTV,Hemisphere Media Group Inc,$371.4M,Communication Services,Media,--,0.8
HMY,Harmony Gold Mining Co. (ADR),$3.5B,Materials,Metals & Mining,--,0.7
HNCKF,GIGA METALS CORP,$10.0M,Materials,Metals & Mining,--,3
HNCMF,HUTCHISON CHINA MEDITECH LTD SHS,$3.6B,,,--,1.1
HNDI,Handeni Gold Inc,$554.2K,Materials,Metals & Mining,--,0.9
HNFSA,Hanover Foods Corporation,$20.2M,,,0.39%,0.5
HNFSB,HANOVER FOODS CORP/PA,$54.7M,,,1.57%,0.5
HNGR,Hanger Inc,$688.6M,Health Care,Health Care Providers & Services,--,2.5
HNI,HNI Corp,$1.4B,Industrials,Commercial Services & Supplies,4.01%,1.1
HNNA,Hennessy Advisors Inc,$57.6M,Financials,Capital Markets,6.87%,0.8
HNP,Huaneng Power International Inc (ADR),$2.0B,Utilities,Independent Power & Renewable Electricity Producers,4.45%,0.8
HNRDF,HANSARD GLOBAL PLC DOUGLAS SHS,$68.8M,,,--,0.6
HNRG,Hallador Energy Co,$20.1M,Energy,"Oil, Gas & Consumable Fuels",--,0.3
HNTIF,HUNTING PLC ORD,$448.6M,,,1.10%,1.8
HNTM,HuntMountain Resources. Ltd.,$953.1K,Materials,Metals & Mining,--,--
HNTUF,Hunter Maritime Acquisition Corp,$113.8M,,,--,--
HNW,Pioneer Diversified High Income Trust,$102.1M,,,9.34%,0.7
HNWEF,HANWEI ENERGY SERVICES CORP,$1.4M,Energy,Energy Equipment & Services,--,-0.3
HOCFF,HOCHTIEF AG VORMGEBRHELFMANN AKT,$6.7B,,,6.84%,1
HOCPF,HOYA CORP SHS,$37.6B,,,--,1
HOFJF,HOUSE FOODS CORP SHS,$4.0B,,,--,0.4
HOFT,Hooker Furniture Corporation,$254.7M,Consumer Discretionary,Household Durables,3.00%,0.8
HOFV,Hall of Fame Resort & Entertainment Co,$172.8M,,,--,--
HOG,Harley-Davidson Inc,$4.5B,Consumer Discretionary,Automobiles,0.28%,1.5
HOKCF,HKCG FINANCE LIMITED ORD,$24.9B,,,3.17%,0.6
HOKCY,The Hong Kong and China Gas Co. (ADR),$24.7B,Utilities,Gas Utilities,3.18%,0.5
HOKUQ,Hoku Corporation,$16.6K,Industrials,Electrical Equipment,--,--
HOLHF,HOEGH LNG HOLDINGS LTD SHS,$100.6M,,,7.58%,1.7
HOLI,Hollysys Automation Technologies Ltd,$743.1M,Information Technology,"Electronic Equipment, Instruments & Components",1.70%,1.3
HOLX,"Hologic, Inc.",$16.0B,Health Care,Health Care Equipment & Supplies,--,1.5
HOMB,Home Bancshares Inc,$2.8B,Financials,Banks,3.12%,1.5
HOME,At Home Group Inc,$532.4M,Consumer Discretionary,Specialty Retail,--,2.4
HON,Honeywell International Inc.,$107.9B,Industrials,Industrial Conglomerates,2.33%,1
HONE,HarborOne Bancorp Inc,$517.0M,Financials,Banks,1.45%,0.9
HOOB,"Holobeam, Inc.",$11.6M,Real Estate,Real Estate Management & Development,--,--
HOOK,Hookipa Pharma Inc,$296.8M,Health Care,Biotechnology,--,--
HOPE,Hope Bancorp Inc,$1.1B,Financials,Banks,6.65%,1.6
HOPS,Between Dandelions Inc,$1.8M,,,--,1.3
HOSSQ,"Hornbeck Offshore Services, Inc.",$638.2K,Energy,Energy Equipment & Services,--,-1.1
HOTF,Hot Mama's Foods Inc,$470.6K,Consumer Staples,Food Products,--,--
